incident_id,datetime,longitude,latitude
032700,17/2/2019 08:22 AM,-96.777351,32.780825
032814,10/2/2016 05:00 AM,-96.708165,32.73425
033540,11/2/2016 12:39 AM,-96.747456,32.77015
035055,20/2/2019 05:00 PM,-96.856007,32.909245
035243,20/2/2019 07:30 AM,-96.730478,32.811634
035847,21/2/2019 07:49 PM,-96.868235,32.819485
036033,22/2/2019 02:00 AM,-96.69543,32.795733
036181,14/2/2016 02:15 AM,-96.847472,32.733755
036687,14/2/2016 08:27 PM,-96.809907,32.811955
037346,15/2/2016 10:30 AM,-96.635186,32.686254
038264,25/2/2019 01:50 AM,-96.747906,32.858128
038332,25/2/2019 05:15 AM,-96.874248,32.6966
038744,25/2/2019 05:30 PM,-96.717943,32.885395
038941,17/2/2016 09:00 AM,-96.580677,32.694119
039841,24/2/2019 08:00 AM,-96.783195,32.988015
040229,24/2/2018 09:49 PM,-96.767137,32.791212
040298,19/2/2016 01:51 AM,-96.686169,32.818355
040377,18/2/2016 11:05 AM,-96.753807,32.879767
040665,10/2/2017 07:30 PM,-96.770691,32.86875
041079,26/2/2018 03:34 AM,-96.822055,32.791842
041274,25/2/2018 01:00 PM,-96.859286,32.783254
041344,18/2/2016 02:30 PM,-96.729086,32.899016
041362,20/2/2016 05:47 AM,-96.774438,32.693298
041942,1/3/2019 10:59 AM,-96.691092,32.879786
042032,2/3/2019 01:40 AM,-96.873135,32.704834
042291,2/3/2019 01:00 PM,-96.774693,32.780277
042318,2/3/2019 01:20 PM,-96.645956,32.750334
042827,3/3/2019 01:26 AM,-96.856754,32.734863
042876,3/3/2019 03:10 AM,-96.700009,32.772885
043161,27/2/2018 08:00 PM,-96.682824,32.743963
043490,4/3/2019 01:20 AM,-96.8033,32.810014
044440,23/2/2016 05:50 PM,-96.824112,32.662194
044508,26/2/2015 08:29 PM,-96.865126,32.792643
045012,15/2/2016 12:00 PM,-96.907451,32.894011
045069,24/1/2019 12:00 AM,-96.687213,32.792531
045408,6/3/2019 07:00 PM,-96.892019,32.726465
045436,28/2/2015 02:00 AM,-96.76976,32.868762
045468,6/3/2019 08:41 PM,-96.703007,32.712031
045881,7/3/2019 11:30 AM,-96.765845,32.802991
046071,28/2/2015 10:00 PM,-96.725149,32.835514
046267,4/3/2018 01:30 PM,-96.759293,32.876118
046445,26/2/2016 02:30 AM,-96.893322,32.862593
046506,26/2/2016 12:01 AM,-96.774693,32.780277
046678,8/3/2019 12:30 PM,-96.706946,32.765541
046838,28/2/2017 11:00 AM,-96.784115,32.804531
047075,8/3/2019 09:50 PM,-96.820845,32.716806
047189,26/2/2016 08:00 PM,-96.772792,32.842883
047279,26/2/2016 10:30 PM,-96.769612,32.877541
047481,27/2/2016 06:00 AM,-96.663451,32.843583
047747,9/3/2019 10:00 AM,-96.838887,32.654679
047838,1/12/2017 12:00 PM,-96.857176,32.639472
048276,9/11/2018 12:00 AM,-96.856523,32.720325
048407,28/2/2016 09:35 AM,-96.655088,32.766409
048692,11/3/2019 01:30 AM,-96.805333,32.796754
048832,11/3/2019 09:25 AM,-96.803969,32.7785
049187,7/2/2015 12:59 PM,-96.894099,32.763688
049396,4/3/2015 06:30 PM,-96.793205,32.767333
050254,4/3/2017 07:14 PM,-96.845614,32.781773
050344,13/3/2019 09:15 AM,-96.794089,32.778506
051176,10/3/2018 05:00 PM,-96.85281,32.85262
051386,10/3/2019 02:00 PM,-96.645736,32.740802
051692,15/3/2019 03:34 AM,-96.829586,32.795216
051731,14/3/2019 07:00 PM,-96.812689,32.755319
052142,3/3/2016 03:55 PM,-96.76435,32.771898
052152,7/3/2017 03:14 AM,-96.84581,33.010437
052925,16/3/2019 05:58 PM,-96.761155,32.813856
053479,5/3/2016 12:20 AM,-96.891356,32.69314
054116,5/3/2016 06:00 PM,-96.8015,32.788995
